n,F(n)
1,2082453810845349954530857848803337496260456195444224420180316718294766405024576544871833258060845944088804345866959
2154506941,22632951765121400523883966852261626004970777782336602908708963927540918382964224521495145682268609929243183566557336
2321340949,10401727099478156813382826368585803972778954803737728238855287854811023415439067231467178600182129084666595032150375
2477438617,10397851866985311971031032311045041397965529059860118679361084206586684785656923199648479317834151570602324421029691
2598192473,2338872011165648058577659641359505109532326798598908948175671575704035255681973726541710992581138130305940515567975
2656632067,2376082603639769652563368416187618988248938939299896720183426389617980655558611744254682969887315082537368190850782
2661306983,7366158583016284927758678142643841623532947400577373889396136391335646161110806496496490012654606777475373373248452
2704495351,567645483790946881339562829931387262692188476592313650701706537505633670807071178946248001184751941708855101872886
2704606529,7104205944174923899355188705107126656714921726016152352705004978701037019125903274550553663934197894348892337472906
3358863457,3317078736458652830483025797727462002670768048713324511329300191862607985220034920930094872112831347590746523307879
3439295149,9368845995137740331194562427020246742502535389122959069819760227771438142620581123619744049340847186330939591375879
3999681181,11941413042192202891913765582196339394688882433905020337551413598189436370282892306922802080806974563495816931846581
4090576319,23183688365494625847645994911798292869517805911392680319424317064425202617208791504612986007858101888473842850952425
5001345187048027009,10776721363385103667648602601255423681544676382845916654029260072609258702146486915526207324958533675642775229948641
5337658696227940597,13315782142874173998769135469141483684431291043759645196292999516954240400663710452530766954510602570133418070401547
5597823717132455093,12045972263485682491787351233758036016951068035640165436089505473222212402579888003005487617038950623067110591187866
5723732228034677047,2690163658301490058676188423811009310839525685692754662386654501428183913679963777418995701624007052388935172395556
5733804367005269003,76143926639730954001609770235969140561414296488074282504110901584452159957819239730404766391869026489143360996745
5750979710276027533,5072433954982621762881089706907452947142682849426780032612742040823451005526205519980086756499768859465645264753059
5826854005631731291,21930083493004583723343312488470450857237219228920936750824638072883998291514221592052092827578989014091237984674196
5827093539404417789,13584168635640012569661108328046757384986914679967022500523112354407533212459731862860975137940813123866976986968175
6031290580958476877,511515754507321206905831558785702886122611891348264691643782265979849321387625326265049277033711774366217094752481
6166948803553611583,10891568574861858901753679337993044793276162450756912221941062700997267645497281041629527926111144718216061354776969
6177800877497546867,8652281233882729603339781884550849854426323501782383084469889793436676166493110343978914559554296100221549072391481
6278055804656428099,15448701819561892026348981901310042010351019339669857924254044328369134687379182324643661344069198106538404136599542
6278313886700456021,11578090725659221489599490967065364131265158332099380692712931420125701076356990147364055008818485555205128996780391
6436862367008929841,3305194376493569495443530060796789381598376472663899051744523845598013317300494030148422985410981768126906099289910
6581642873946331339,16175611380800792104675204497924524072707816126855611244092031112795901892939777597078496809735515896972063325013100
6593224691375962511,15260157343316600799858212912353190377018316222209266639989618740011246025959632311235210290131392049053103405907113
6700221222064369567,20317001104213276806800135925375032377228971154959016788002472839870775298190658052315051221123100489032662681715699
6700496658734930393,21707660556082282069692152585085907862566978145598281604296070167593826270241806124585495552014377555809253179324921
6902441440009831691,24394435498602962023286495629168825759855131744952542367156390149310209403189212977570043329918550499758429565475994
6914587771572938959,6051095768327876509624306845843809132345228994684342826338232051306967274681199939922403195239191465674488549476484
7026799464231693023,11587821697221189712242911879904943709666855467724804924885707700140120548252535333105903645877901907745143879746586
7027088326074456217,3869834712947403917093966662029624967705895586387895894135910862171033688267261768790115855521638440758652665736762
7070113471168823861,24080838429819336897060167243179213778498112420755686811971054287568687826113596652486924398327398548716115898411138
7184849074519020517,24314137286128427447500060541213169091038316968116533105704396592008944762557237859407257786593134916472817330966219
7185144433558965443,18874291464976420854591835237532654827548980563069321176752093618685661960779841797671074819299025108013349161487869
7197492363107336033,2965229906430262180502900204883498251888974764416781850744916564210587074749134678926969578182831821884745107601204
7197788241895092007,9189626362841449880828785864932498996627459605173203490033323680190983845588150058285595939461875927088754077698973
7236694631977755037,19572881044551896737259294507729276008628036744837076466007113479899484229848168244522800657866024967453515959486477
7314595783964746679,11106206948482067547655573435745692110738723515905834302281966898604371560472009950368949798178821965214757255523061
7409985270668129209,21463732222593865463098442266798173891595309889856574976883378457525731931556087334542369927927580299086286958198344
7797067284833800693,14307748533095885856522446114548123240829718345802320097949690568667001825563418252556647263061977508539525452580727
7983776665070756401,20641992839153989750748782374043688778586601804752711925551150638276886004870719376922284163438531250429191178874759
